subscription_id,customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,support_id,complaint_date,escalations,csat_score
620,9086-KXDEJ,2022-09-19,Paid,2023-01-17,Standard,Monthly,2025-11-14,Service issue,21.27,395.0,82,1,Reyansh Naidu,India,Uttar Pradesh,Male,1979-06-08,40.0,2025-08-09,N,1.0
621,0832-CWPJB,2020-11-15,Trial,2021-11-15,Basic,Annual,2024-07-03,Service issue,11.17,548.0,78,1,Suresh Singh,India,Telangana,Male,1969-06-30,43.0,2024-06-03,N,85.0
622,2442-TBMUT,2019-09-24,Trial,2019-12-23,Standard,Monthly,,,21.74,3789.0,22,0,Pradeep Singh,India,Karnataka,Male,1982-08-28,44.0,2022-07-17,N,16.0
623,9173-PVZEH,2023-05-19,Organic,2024-05-19,Standard,Annual,2024-01-21,Not using service,20.57,767.0,100,1,Kabir Sengupta,India,Maharashtra,Male,1971-02-03,45.0,2023-09-11,N,74.0
624,0634-RHGQM,2022-10-27,Paid,2024-10-27,Basic,Annual,,,8.8,2726.0,32,0,Kavita Desai,India,Maharashtra,Female,1972-04-29,46.0,2024-11-21,N,58.0
625,8785-LADJF,2020-08-19,Partner,2021-08-19,Basic,Annual,,,6.59,5652.0,8,0,Diya Iyer,India,Jharkhand,Female,1993-12-26,48.0,2023-10-26,N,79.0
626,9446-GJBYP,2023-01-21,Paid,2023-02-20,Basic,Monthly,,,6.05,2708.0,5,0,Nikhil Rathore,India,Gujarat,Male,1987-09-04,50.0,2025-11-15,N,0.0
627,6691-LNYKT,2026-05-02,Trial,2026-08-30,Basic,Monthly,,,12.9,1774.0,26,0,Aryan Sengupta,India,Bihar,Male,1970-08-12,51.0,2026-08-29,N,52.0
628,9502-VWLQQ,2021-12-03,Paid,2022-01-02,Standard,Monthly,2025-07-31,Poor customer support,22.88,604.0,86,1,Payal Joshi,India,Andhra Pradesh,Female,1997-06-14,52.0,2022-05-25,N,45.0
629,3848-XKHGE,2025-09-21,Paid,2026-12-31,Basic,Annual,2026-01-01,Too expensive,11.31,467.0,90,1,Aditya Chopra,India,Assam,Male,1961-07-14,53.0,2025-11-25,N,21.0
630,0090-DPHFY,2020-11-21,Paid,2021-05-20,Standard,Monthly,2022-04-04,Switched to competitor,23.56,201.0,95,1,Ira Naidu,India,Rajasthan,Female,1965-11-20,56.0,2022-03-25,Y,39.0
631,7251-VZSPT,2021-01-11,Paid,2021-04-11,Basic,Monthly,,,7.93,1877.0,33,0,Priya Tiwari,India,Odisha,Female,1978-04-03,58.0,2024-08-13,N,52.0
632,4681-HJLLT,2023-01-06,Trial,2023-02-05,Standard,Monthly,2026-03-16,Service issue,14.0,669.0,88,1,Krishna Kumar,India,Rajasthan,Male,1989-05-13,61.0,2025-07-02,N,18.0
633,1020-GPNUY,2020-04-19,Paid,2020-06-18,Premium,Monthly,,,28.76,2875.0,1,0,Parth Krishnan,India,Bihar,Male,1997-10-16,,,,
634,3613-RHJPR,2021-03-06,Paid,2021-09-02,Standard,Monthly,,,15.59,362.0,8,0,Ajay Bansal,India,Bihar,Male,1969-10-22,65.0,2024-12-09,Y,4.0
635,0444-CWPEQ,2023-11-24,Paid,2025-11-24,Standard,Annual,,,17.94,5205.0,2,0,Vihaan Malhotra,India,Bihar,Male,1984-05-14,,,,
636,7705-AZTBM,2024-03-17,Referral,2025-03-17,Basic,Annual,2025-02-17,Too expensive,6.11,344.0,99,1,Manoj Reddy,India,Karnataka,Male,1957-10-13,69.0,2024-11-16,N,28.0
637,1874-UGQYJ,2022-09-11,Paid,2023-02-08,Basic,Monthly,,,11.3,5672.0,6,0,Priya Pandit,India,Jharkhand,Female,1965-04-11,,,,
638,6149-NYGCU,2021-12-11,Paid,2024-12-11,Standard,Annual,2022-03-25,Switched to competitor,17.16,706.0,65,1,Reyansh Pillai,India,Jharkhand,Male,1965-11-10,71.0,2022-01-28,N,61.0
639,5590-APRDP,2024-09-19,Organic,2024-12-18,Premium,Monthly,,,35.24,5563.0,35,0,Lakshmi Mishra,India,Uttar Pradesh,Female,1994-01-26,,,,
640,9707-JLHCJ,2019-04-13,Organic,2019-10-10,Basic,Monthly,2020-08-09,Other,11.4,792.0,99,1,Sunita Mishra,India,Goa,Female,1988-12-31,73.0,2019-09-06,N,24.0
641,5576-JVYJT,2023-12-27,Paid,2024-05-25,Premium,Monthly,,,43.28,3019.0,20,0,Nikhil Shah,India,Delhi,Male,1976-08-26,74.0,2024-11-16,N,57.0
642,3630-NYHKX,2025-03-13,Paid,2025-08-10,Basic,Monthly,,,8.59,470.0,49,0,Aishwarya Naidu,India,Andhra Pradesh,Female,1985-11-03,82.0,2026-08-23,Y,1.0
643,3777-DZGLD,2025-02-09,Organic,2026-12-31,Basic,Annual,,,5.99,4940.0,27,0,Aryan Joshi,India,Assam,Male,1979-10-22,83.0,2025-12-29,N,59.0
644,5912-FKAYT,2026-02-24,Paid,2026-12-31,Basic,Annual,,,9.63,846.0,24,0,Rahul Gupta,India,Karnataka,Male,2004-08-23,86.0,2026-08-29,N,31.0
645,7843-QLFBJ,2019-07-18,Paid,2019-10-16,Standard,Monthly,,,18.97,979.0,2,0,Saanvi Reddy,India,Bihar,Female,1999-02-12,88.0,2021-11-26,Y,67.0
646,4066-DTPVV,2023-06-23,Paid,2023-12-20,Standard,Monthly,,,16.44,5114.0,19,0,Om Chauhan,India,Bihar,Male,1995-06-02,89.0,2023-11-08,N,18.0
647,1625-GWGJX,2025-03-10,Paid,2026-03-10,Basic,Annual,,,9.57,5345.0,25,0,Rohan Chopra,India,West Bengal,Male,2004-07-09,,,,
648,4720-YKYQC,2025-11-19,Paid,2026-03-19,Standard,Monthly,,,16.95,1777.0,31,0,Manish Subramaniam,India,Gujarat,Male,1993-02-20,90.0,2026-08-23,N,83.0
649,5039-VZUKQ,2022-08-16,Partner,2022-10-15,Premium,Monthly,,,42.2,1726.0,16,0,Sanjay Pillai,India,Bihar,Male,1979-06-04,,,,
650,9891-JACHX,2021-05-20,Paid,2021-11-16,Basic,Monthly,2022-01-31,Other,6.55,400.0,81,1,Parth Kapoor,India,Goa,Male,1958-08-11,,,,
651,8056-CRMPL,2021-10-07,Trial,2022-01-05,Basic,Monthly,,,9.73,5091.0,54,0,Nidhi Iyer,India,West Bengal,Female,1984-08-03,93.0,2026-05-25,Y,72.0
652,4135-LDNSA,2019-04-28,Paid,2019-06-27,Premium,Monthly,,,35.08,4004.0,23,0,Swati Patel,India,Gujarat,Female,2001-07-06,,,,
653,4719-QYRDA,2019-09-09,Paid,2019-12-08,Standard,Monthly,,,15.58,3239.0,18,0,Vishal Rao,India,Kerala,Male,2004-06-01,95.0,2024-09-15,N,59.0
654,2522-RYKSY,2021-01-12,Trial,2021-03-13,Premium,Monthly,,,38.9,677.0,14,0,Swati Tiwari,India,Assam,Female,1976-11-12,97.0,2024-08-15,N,9.0
655,4526-PLSJA,2022-02-18,Paid,2025-02-18,Premium,Annual,,,35.41,3925.0,5,0,Tanya Pillai,India,Goa,Female,2007-01-10,100.0,2025-10-16,Y,67.0
656,8903-NQLGY,2020-10-08,Paid,2020-12-07,Basic,Monthly,2021-05-04,Poor customer support,6.96,604.0,89,1,Abhishek Das,India,Rajasthan,Male,1991-11-08,107.0,2021-01-30,N,57.0
657,2068-SULDQ,2020-12-25,Trial,2021-04-24,Basic,Monthly,,,7.22,4189.0,13,0,Nikhil Mishra,India,Maharashtra,Male,1967-12-07,,,,
658,6512-WCLXT,2019-01-21,Paid,2020-01-21,Premium,Annual,2020-06-06,Not using service,44.03,562.0,70,1,Meera Yadav,India,Chandigarh,Female,1958-03-22,108.0,2020-04-12,N,71.0
659,1646-QFYKA,2019-07-04,Paid,2020-07-04,Standard,Annual,2020-02-14,Other,14.07,99.0,97,1,Vikram Patel,India,Kerala,Male,1987-02-28,111.0,2019-10-03,N,96.0
660,1293-VNVXH,2020-03-11,Referral,2020-07-09,Standard,Monthly,,,20.8,5245.0,5,0,Deepika Kumar,India,Rajasthan,Female,1996-05-15,113.0,2025-08-06,Y,82.0
661,5661-UKWPY,2019-09-11,Paid,2019-12-10,Standard,Monthly,,,20.39,1497.0,24,0,Isha Pillai,India,Gujarat,Female,1989-07-06,115.0,2024-11-29,Y,51.0
662,4837-AXNJA,2021-01-24,Partner,2023-01-24,Basic,Annual,2023-03-19,Service issue,7.96,366.0,98,1,Raghav Yadav,India,Kerala,Male,1975-08-24,118.0,2023-01-30,N,38.0
663,0645-KQBUM,2019-01-11,Organic,2020-01-11,Standard,Annual,2021-01-14,Other,23.87,189.0,73,1,Sai Bhat,India,Punjab,Male,1992-04-11,125.0,2020-07-08,Y,77.0
664,4210-RKZLD,2021-08-17,Paid,2024-08-17,Basic,Annual,,,9.25,3015.0,18,0,Kavya Kumar,India,Rajasthan,Female,1990-08-27,127.0,2025-07-25,Y,97.0
665,4295-UNWMD,2023-03-24,Paid,2026-03-24,Standard,Annual,2024-12-18,Service issue,18.87,743.0,72,1,Keshav Verma,India,Jharkhand,Male,2005-05-14,133.0,2024-09-22,N,81.0
666,0742-BKRDD,2025-11-21,Organic,2026-03-21,Basic,Monthly,,,9.15,3806.0,26,0,Varun Singh,India,Bihar,Male,1995-09-12,138.0,2026-09-01,N,35.0
667,8017-VPJBY,2022-10-24,Paid,2023-02-21,Basic,Monthly,2023-01-16,Not using service,12.26,617.0,70,1,Sneha Pandey,India,Odisha,Female,1976-03-07,144.0,2022-11-23,N,32.0
668,2001-QCXGW,2019-12-21,Partner,2020-06-18,Standard,Monthly,2023-07-22,Too expensive,14.59,185.0,69,1,Vihaan Bansal,India,Rajasthan,Male,1966-04-19,145.0,2021-11-19,N,8.0
669,2417-VAJEE,2021-10-04,Paid,2022-02-01,Basic,Monthly,2025-05-14,Poor customer support,9.82,487.0,100,1,Pooja Menon,India,Maharashtra,Female,1966-10-28,146.0,2024-09-23,N,30.0
670,2076-ZPSDZ,2021-04-17,Paid,2021-09-14,Basic,Monthly,,,9.39,886.0,9,0,Keshav Pandey,India,Haryana,Male,2001-01-16,,,,
671,0510-BRNPX,2020-07-19,Paid,2022-07-19,Standard,Annual,,,21.11,986.0,31,0,Gaurav Pandey,India,Delhi,Male,1962-04-01,150.0,2026-09-05,N,46.0
672,5327-NVSKQ,2019-12-07,Paid,2020-01-06,Basic,Monthly,,,6.14,4015.0,15,0,Pari Menon,India,Chandigarh,Female,1974-04-16,,,,
673,1557-LPLXJ,2022-10-10,Organic,2025-10-10,Basic,Annual,2024-03-21,Other,9.94,262.0,64,1,Navya Tiwari,India,Delhi,Female,1963-03-09,153.0,2023-12-01,N,40.0
674,9201-TLXDP,2020-08-09,Paid,2022-08-09,Basic,Annual,,,9.51,1338.0,13,0,Nidhi Bose,India,Karnataka,Female,1980-10-21,155.0,2026-08-22,Y,2.0
675,3674-DMTMD,2024-05-14,Organic,2024-10-11,Standard,Monthly,2026-05-13,Poor customer support,19.39,400.0,86,1,Chitra Desai,India,Madhya Pradesh,Female,2005-04-29,159.0,2025-03-10,N,13.0
676,5062-LMAFE,2025-05-24,Paid,2026-05-24,Premium,Annual,2025-08-12,Service issue,48.05,884.0,61,1,Kavya Kumar,India,Maharashtra,Female,1963-03-26,160.0,2025-06-12,N,1.0
677,5314-UVCBE,2023-05-08,Partner,2023-09-05,Basic,Monthly,,,8.04,2104.0,50,0,Parth Trivedi,India,Karnataka,Male,1962-04-27,161.0,2025-08-14,N,6.0
678,8394-DMPDK,2023-02-19,Paid,2023-05-20,Basic,Monthly,,,7.95,2339.0,51,0,Manisha Pillai,India,Karnataka,Female,1974-10-13,166.0,2024-06-14,N,55.0
679,4186-KLDAR,2024-06-25,Trial,2024-10-23,Basic,Monthly,,,12.5,2431.0,26,0,Pooja Singh,India,Bihar,Female,2002-10-12,168.0,2026-08-02,Y,81.0
680,1275-LUPUN,2024-12-06,Paid,2025-05-05,Basic,Monthly,,,7.14,1285.0,23,0,Shreya Menon,India,Bihar,Female,1956-11-14,175.0,2026-09-06,Y,92.0
681,3986-PUNSC,2019-03-30,Paid,2019-08-27,Standard,Monthly,2022-07-04,Poor customer support,24.53,442.0,80,1,Ritu Bansal,India,Rajasthan,Female,1984-11-17,178.0,2021-11-17,N,28.0
682,2419-HDEJG,2024-12-26,Trial,2025-04-25,Premium,Monthly,,,42.12,3964.0,48,0,Raghav Kumar,India,Delhi,Male,1970-11-22,180.0,2025-07-30,N,73.0
683,5179-EQCRQ,2023-09-08,Organic,2026-09-08,Basic,Annual,2026-03-28,Not using service,11.17,313.0,73,1,Divya Subramaniam,India,Karnataka,Female,1986-07-29,181.0,2026-01-22,N,58.0
684,1257-WCVVS,2022-01-08,Partner,2022-07-07,Basic,Monthly,,,8.1,1824.0,0,0,Isha Subramaniam,India,Chandigarh,Female,1958-09-06,185.0,2024-06-14,N,32.0
685,1013-QDLYC,2020-08-26,Organic,2021-02-22,Basic,Monthly,,,9.84,5773.0,44,0,Aditya Chopra,India,Odisha,Male,1994-06-03,,,,
686,5543-XVBWW,2019-01-26,Paid,2019-03-27,Basic,Monthly,,,9.96,4557.0,55,0,Kavya Bansal,India,Tamil Nadu,Female,2005-01-21,188.0,2025-04-06,N,37.0
687,5731-KWYXN,2022-04-08,Organic,2022-09-05,Basic,Monthly,,,7.6,2697.0,5,0,Raghav Nair,India,Kerala,Male,2005-02-21,,,,
688,0298-MKFGL,2024-01-29,Referral,2025-01-29,Premium,Annual,2025-12-19,Other,48.73,760.0,69,1,Neha Desai,India,Uttar Pradesh,Female,1968-11-25,190.0,2025-11-28,Y,65.0
689,2147-VNEFF,2019-08-18,Trial,2019-12-16,Standard,Monthly,,,14.69,3947.0,49,0,Kunal Pandey,India,Karnataka,Male,1991-11-11,,,,
690,3918-KRGMX,2019-02-18,Paid,2019-07-18,Standard,Monthly,,,15.54,1224.0,0,0,Isha Bhat,India,Bihar,Female,2000-02-13,192.0,2023-10-23,N,21.0
691,7873-MTDYS,2019-10-03,Trial,2020-10-03,Premium,Annual,,,26.64,5836.0,46,0,Amit Nair,India,West Bengal,Male,1979-06-22,195.0,2022-06-06,Y,88.0
692,0436-PBNSM,2024-10-22,Paid,2025-03-21,Premium,Monthly,2025-06-26,Poor customer support,45.6,741.0,88,1,Ajay Nair,India,Haryana,Male,1975-02-22,198.0,2025-05-04,N,86.0
693,7740-YEYRQ,2025-06-18,Paid,2025-12-15,Premium,Monthly,,,48.51,4385.0,25,0,Sai Verma,India,Telangana,Male,1974-05-07,200.0,2026-08-23,N,96.0
694,1996-BHPWV,2026-02-26,Paid,2026-08-25,Basic,Monthly,,,8.34,3862.0,18,0,Kavya Menon,India,Assam,Female,2003-02-03,,,,
695,5780-HUPFX,2025-09-21,Paid,2026-02-18,Standard,Monthly,,,18.6,1231.0,3,0,Nikhil Mukherjee,India,Delhi,Male,2002-03-12,201.0,2025-10-04,N,81.0
696,6338-MJZAM,2021-02-08,Paid,2024-02-08,Standard,Annual,,,15.02,708.0,23,0,Ramesh Chopra,India,Tamil Nadu,Male,2007-03-16,202.0,2023-05-31,N,16.0
697,7840-WFECY,2026-04-29,Trial,2026-07-28,Premium,Monthly,,,47.56,3126.0,30,0,Diya Bhat,India,Gujarat,Female,1958-12-06,204.0,2026-09-06,N,84.0
698,0599-WGKMB,2024-12-13,Organic,2025-12-13,Premium,Annual,2026-07-02,Other,38.97,640.0,92,1,Divya Menon,India,Haryana,Female,1994-03-15,,,,
699,8507-JCZPC,2026-03-02,Organic,2026-04-01,Standard,Monthly,,,21.01,2282.0,17,0,Jaya Mehta,India,Chandigarh,Female,1981-05-10,205.0,2026-07-22,Y,27.0
700,2730-YQMQB,2019-09-19,Paid,2019-11-18,Basic,Monthly,,,6.52,4579.0,12,0,Kajal Bose,India,Telangana,Female,1960-02-23,,,,
701,9954-XQBEC,2026-02-11,Organic,2026-12-31,Basic,Annual,,,9.33,709.0,32,0,Om Mukherjee,India,Haryana,Male,1989-05-07,206.0,2026-06-14,N,32.0
702,9403-ESMNL,2021-03-18,Paid,2021-06-16,Standard,Monthly,,,18.43,1201.0,28,0,Sunita Menon,India,Maharashtra,Female,1971-09-10,209.0,2022-08-24,N,67.0
703,4678-YRGDE,2024-06-17,Partner,2024-11-14,Standard,Monthly,2025-11-02,Other,14.99,464.0,66,1,Rajesh Mehta,India,Odisha,Male,1962-11-16,211.0,2025-07-21,N,48.0
704,2852-MSHDG,2025-10-19,Referral,2026-10-19,Standard,Annual,,,19.31,3296.0,6,0,Karthik Yadav,India,Maharashtra,Male,1987-05-18,215.0,2026-02-03,N,19.0
705,6523-YZRSP,2024-10-14,Trial,2025-10-14,Standard,Annual,2026-06-20,Poor customer support,24.75,499.0,84,1,Chitra Reddy,India,Uttar Pradesh,Female,1983-06-11,,,,
706,2114-PSBDS,2022-12-30,Referral,2023-04-29,Standard,Monthly,2023-04-24,Other,16.18,78.0,80,1,Sandeep Rao,India,West Bengal,Male,1983-12-12,217.0,2023-01-30,N,14.0
707,9024-JEWKV,2022-09-25,Trial,2023-03-24,Standard,Monthly,,,16.8,3148.0,37,0,Mohit Rao,India,Goa,Male,2007-02-03,218.0,2026-09-15,N,56.0
708,0464-CBWUJ,2023-09-25,Paid,2023-11-24,Standard,Monthly,,,16.71,5675.0,37,0,Om Krishnan,India,Madhya Pradesh,Male,1957-09-19,220.0,2024-04-14,N,51.0
709,6653-KQCYB,2025-08-27,Organic,2026-02-23,Standard,Monthly,2026-05-23,Other,18.26,393.0,90,1,Rajesh Sengupta,India,Assam,Male,1996-08-31,222.0,2026-02-16,Y,49.0
710,6070-STDLH,2025-04-10,Paid,2025-08-08,Standard,Monthly,,,16.93,5254.0,31,0,Saanvi Kapoor,India,Odisha,Female,1977-03-29,225.0,2026-05-21,Y,83.0
711,2616-LUZLG,2021-05-02,Paid,2021-09-29,Premium,Monthly,,,29.63,4084.0,10,0,Gaurav Thakur,India,Odisha,Male,1999-09-30,226.0,2024-09-11,N,59.0
712,5781-BBKRV,2021-01-02,Referral,2021-03-03,Basic,Monthly,,,11.67,5526.0,4,0,Shreya Rathore,India,Maharashtra,Female,1964-08-23,228.0,2024-06-02,N,42.0
713,9343-TGMTK,2023-02-28,Partner,2023-07-28,Standard,Monthly,,,15.37,3793.0,19,0,Ajay Thakur,India,Odisha,Male,2004-04-30,232.0,2025-01-16,N,57.0
714,5555-TMEGV,2020-03-12,Trial,2020-04-11,Basic,Monthly,,,11.72,4165.0,36,0,Sonal Gupta,India,Karnataka,Female,1958-06-29,,,,
715,2290-LVLFN,2020-05-27,Partner,2021-05-27,Premium,Annual,,,44.36,1667.0,45,0,Deepika Bansal,India,Andhra Pradesh,Female,2000-09-23,234.0,2024-11-26,N,93.0
716,1795-PUKZY,2024-06-04,Organic,2025-06-04,Standard,Annual,2026-08-21,Not using service,24.44,193.0,78,1,Raghav Tiwari,India,Telangana,Male,2006-11-24,238.0,2026-05-06,N,64.0
717,6229-EXHBU,2022-07-30,Paid,2023-07-30,Standard,Annual,2026-01-14,Too expensive,24.13,503.0,60,1,Aryan Verma,India,Odisha,Male,1983-02-22,239.0,2024-12-15,N,73.0
718,1020-YESGT,2019-12-06,Paid,2020-02-04,Basic,Monthly,2023-10-18,Service issue,11.99,271.0,91,1,Nidhi Tiwari,India,Andhra Pradesh,Female,1988-10-21,246.0,2023-06-05,N,68.0
719,4331-VRGHJ,2019-08-01,Paid,2021-08-01,Standard,Annual,,,21.6,5371.0,6,0,Kavita Pillai,India,Kerala,Female,1973-08-06,248.0,2024-02-12,Y,67.0
720,8899-NNMEK,2023-10-16,Trial,2024-02-13,Standard,Monthly,,,19.21,3859.0,39,0,Amit Nair,India,Haryana,Male,1994-09-08,251.0,2026-02-14,Y,67.0
721,2249-DVZUH,2022-12-04,Organic,2023-05-03,Standard,Monthly,,,17.25,3393.0,43,0,Vihaan Chauhan,India,Rajasthan,Male,1975-11-21,252.0,2025-09-10,Y,15.0
722,2587-PWRRW,2024-11-16,Partner,2026-12-31,Basic,Annual,,,6.1,1622.0,9,0,Parth Bhat,India,Punjab,Male,1980-08-09,254.0,2024-11-20,Y,93.0
723,2868-PFBNR,2022-02-27,Trial,2022-04-28,Premium,Monthly,,,43.09,1940.0,39,0,Rakesh Bhat,India,Karnataka,Male,1955-10-31,255.0,2022-05-30,Y,99.0
724,2198-SQJGD,2021-01-16,Paid,2021-06-15,Basic,Monthly,,,7.8,474.0,29,0,Priya Mishra,India,Telangana,Female,1971-09-15,257.0,2025-08-26,N,20.0
725,6643-PSLCN,2023-01-22,Organic,2023-02-21,Standard,Monthly,,,14.54,5547.0,50,0,Kabir Singh,India,Assam,Male,1984-01-12,258.0,2024-11-28,N,39.0
726,9386-AJWMY,2025-07-31,Paid,2025-08-30,Premium,Monthly,2026-03-21,Other,43.88,479.0,69,1,Vihaan Menon,India,Odisha,Male,1982-07-11,260.0,2026-02-05,N,47.0
727,3590-EREQZ,2019-02-06,Paid,2019-08-05,Basic,Monthly,2020-08-24,Poor customer support,9.91,662.0,81,1,Swati Naidu,India,Assam,Female,2003-03-23,263.0,2020-05-23,N,89.0
728,1279-UDBTS,2024-02-10,Partner,2024-07-09,Premium,Monthly,,,33.64,3234.0,13,0,Abhishek Rathore,India,Uttar Pradesh,Male,1969-10-05,265.0,2025-10-03,N,18.0
729,8361-QBQES,2024-07-08,Partner,2024-11-05,Standard,Monthly,,,20.27,2365.0,52,0,Isha Krishnan,India,Karnataka,Female,2005-02-17,266.0,2025-09-21,N,63.0
730,9475-CBPMY,2023-04-24,Paid,2023-10-21,Premium,Monthly,,,35.91,5860.0,18,0,Varun Patel,India,Delhi,Male,1997-05-08,,,,
731,6184-NCXXT,2021-09-10,Partner,2022-01-08,Basic,Monthly,,,12.59,5685.0,52,0,Manoj Chatterjee,India,Tamil Nadu,Male,1971-01-05,268.0,2022-12-13,N,32.0
732,8920-PTNHH,2023-07-28,Paid,2023-12-25,Basic,Monthly,,,8.16,5151.0,54,0,Geeta Kumar,India,Telangana,Female,1971-11-29,269.0,2025-09-07,N,7.0
733,9731-BQVXY,2020-11-12,Trial,2020-12-12,Standard,Monthly,,,14.02,5832.0,47,0,Karthik Gupta,India,Bihar,Male,1994-05-19,270.0,2021-12-24,N,50.0
734,9438-LUVXL,2026-05-18,Paid,2026-12-31,Standard,Annual,,,14.94,443.0,50,0,Sandeep Kumar,India,Andhra Pradesh,Male,1974-10-31,,,,
735,0768-MWXNS,2022-08-02,Paid,2023-08-02,Basic,Annual,,,7.95,3582.0,7,0,Rashmi Sengupta,India,Madhya Pradesh,Female,1968-05-21,272.0,2026-07-19,N,59.0
736,2365-QBTPP,2026-04-23,Paid,2026-12-31,Basic,Annual,,,11.07,5669.0,26,0,Ajay Chopra,India,Telangana,Male,1973-03-29,274.0,2026-07-07,Y,89.0
737,6179-XVVBC,2021-06-08,Paid,2022-06-08,Standard,Annual,2021-11-04,Too expensive,16.2,653.0,62,1,Parth Subramaniam,India,Chandigarh,Male,1974-06-21,,,,
738,1922-ZRHYV,2019-08-03,Referral,2019-12-31,Standard,Monthly,2019-09-09,Service issue,20.07,95.0,94,1,Deepak Chopra,India,Chandigarh,Male,1983-11-08,279.0,2019-09-04,N,53.0
739,8147-QDZRL,2020-12-11,Referral,2021-03-11,Premium,Monthly,2024-01-28,Not using service,42.77,689.0,71,1,Anil Agarwal,India,Madhya Pradesh,Male,1959-02-07,,,,
740,6841-KEGLH,2019-07-27,Organic,2022-07-27,Basic,Annual,,,10.93,1025.0,27,0,Chitra Chopra,India,Assam,Female,2004-05-26,282.0,2026-07-10,Y,88.0
