subscription_id,customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,customer_name,country,state,gender,dob,support_id,complaint_date,escalations,csat_score,churn_flag,complaint_count,age,age_group,churn_risk
672,5327-NVSKQ,2019-12-07,Paid,2020-01-06,Basic,Monthly,,,6.14,4015.0,15,Pari Menon,India,Chandigarh,Female,1974-04-16,,,,,0,0,46,41-50,Low
673,1557-LPLXJ,2022-10-10,Organic,2025-10-10,Basic,Annual,2024-03-21,Other,9.94,262.0,64,Navya Tiwari,India,Delhi,Female,1963-03-09,153.0,2023-12-01,N,40.0,1,1,60,51-60,Medium
674,9201-TLXDP,2020-08-09,Paid,2022-08-09,Basic,Annual,,,9.51,1338.0,13,Nidhi Bose,India,Karnataka,Female,1980-10-21,155.0,2026-08-22,Y,2.0,0,1,40,31-40,Low
675,3674-DMTMD,2024-05-14,Organic,2024-10-11,Standard,Monthly,2026-05-13,Poor customer support,19.39,400.0,86,Chitra Desai,India,Madhya Pradesh,Female,2005-04-29,159.0,2025-03-10,N,13.0,1,1,19,11-20,High
676,5062-LMAFE,2025-05-24,Paid,2026-05-24,Premium,Annual,2025-08-12,Service issue,48.05,884.0,61,Kavya Kumar,India,Maharashtra,Female,1963-03-26,160.0,2025-06-12,N,1.0,1,1,62,61-70,Medium
677,5314-UVCBE,2023-05-08,Partner,2023-09-05,Basic,Monthly,,,8.04,2104.0,50,Parth Trivedi,India,Karnataka,Male,1962-04-27,161.0,2025-08-14,N,6.0,0,1,61,61-70,Medium
678,8394-DMPDK,2023-02-19,Paid,2023-05-20,Basic,Monthly,,,7.95,2339.0,51,Manisha Pillai,India,Karnataka,Female,1974-10-13,166.0,2024-06-14,N,55.0,0,1,48,41-50,Medium
679,4186-KLDAR,2024-06-25,Trial,2024-10-23,Basic,Monthly,,,12.5,2431.0,26,Pooja Singh,India,Bihar,Female,2002-10-12,168.0,2026-08-02,Y,81.0,0,1,22,21-30,Low
680,1275-LUPUN,2024-12-06,Paid,2025-05-05,Basic,Monthly,,,7.14,1285.0,23,Shreya Menon,India,Bihar,Female,1956-11-14,175.0,2026-09-06,Y,92.0,0,1,68,61-70,Low
681,3986-PUNSC,2019-03-30,Paid,2019-08-27,Standard,Monthly,2022-07-04,Poor customer support,24.53,442.0,80,Ritu Bansal,India,Rajasthan,Female,1984-11-17,178.0,2021-11-17,N,28.0,1,1,34,31-40,High
682,2419-HDEJG,2024-12-26,Trial,2025-04-25,Premium,Monthly,,,42.12,3964.0,48,Raghav Kumar,India,Delhi,Male,1970-11-22,180.0,2025-07-30,N,73.0,0,1,54,51-60,Low
683,5179-EQCRQ,2023-09-08,Organic,2026-09-08,Basic,Annual,2026-03-28,Not using service,11.17,313.0,73,Divya Subramaniam,India,Karnataka,Female,1986-07-29,181.0,2026-01-22,N,58.0,1,1,37,31-40,High
684,1257-WCVVS,2022-01-08,Partner,2022-07-07,Basic,Monthly,,,8.1,1824.0,0,Isha Subramaniam,India,Chandigarh,Female,1958-09-06,185.0,2024-06-14,N,32.0,0,1,63,61-70,Low
685,1013-QDLYC,2020-08-26,Organic,2021-02-22,Basic,Monthly,,,9.84,5773.0,44,Aditya Chopra,India,Odisha,Male,1994-06-03,,,,,0,0,26,21-30,Low
686,5543-XVBWW,2019-01-26,Paid,2019-03-27,Basic,Monthly,,,9.96,4557.0,55,Kavya Bansal,India,Tamil Nadu,Female,2005-01-21,188.0,2025-04-06,N,37.0,0,1,14,11-20,Medium
687,5731-KWYXN,2022-04-08,Organic,2022-09-05,Basic,Monthly,,,7.6,2697.0,5,Raghav Nair,India,Kerala,Male,2005-02-21,,,,,0,0,17,11-20,Low
688,0298-MKFGL,2024-01-29,Referral,2025-01-29,Premium,Annual,2025-12-19,Other,48.73,760.0,69,Neha Desai,India,Uttar Pradesh,Female,1968-11-25,190.0,2025-11-28,Y,65.0,1,1,55,51-60,Medium
689,2147-VNEFF,2019-08-18,Trial,2019-12-16,Standard,Monthly,,,14.69,3947.0,49,Kunal Pandey,India,Karnataka,Male,1991-11-11,,,,,0,0,28,21-30,Low
690,3918-KRGMX,2019-02-18,Paid,2019-07-18,Standard,Monthly,,,15.54,1224.0,0,Isha Bhat,India,Bihar,Female,2000-02-13,192.0,2023-10-23,N,21.0,0,1,19,11-20,Low
691,7873-MTDYS,2019-10-03,Trial,2020-10-03,Premium,Annual,,,26.64,5836.0,46,Amit Nair,India,West Bengal,Male,1979-06-22,195.0,2022-06-06,Y,88.0,0,1,40,31-40,Low
692,0436-PBNSM,2024-10-22,Paid,2025-03-21,Premium,Monthly,2025-06-26,Poor customer support,45.6,741.0,88,Ajay Nair,India,Haryana,Male,1975-02-22,198.0,2025-05-04,N,86.0,1,1,50,41-50,High
693,7740-YEYRQ,2025-06-18,Paid,2025-12-15,Premium,Monthly,,,48.51,4385.0,25,Sai Verma,India,Telangana,Male,1974-05-07,200.0,2026-08-23,N,96.0,0,1,51,51-60,Low
694,1996-BHPWV,2026-02-26,Paid,2026-08-25,Basic,Monthly,,,8.34,3862.0,18,Kavya Menon,India,Assam,Female,2003-02-03,,,,,0,0,23,21-30,Low
695,5780-HUPFX,2025-09-21,Paid,2026-02-18,Standard,Monthly,,,18.6,1231.0,3,Nikhil Mukherjee,India,Delhi,Male,2002-03-12,201.0,2025-10-04,N,81.0,0,1,24,21-30,Low
696,6338-MJZAM,2021-02-08,Paid,2024-02-08,Standard,Annual,,,15.02,708.0,23,Ramesh Chopra,India,Tamil Nadu,Male,2007-03-16,202.0,2023-05-31,N,16.0,0,1,14,11-20,Low
697,7840-WFECY,2026-04-29,Trial,2026-07-28,Premium,Monthly,,,47.56,3126.0,30,Diya Bhat,India,Gujarat,Female,1958-12-06,204.0,2026-09-06,N,84.0,0,1,67,61-70,Low
698,0599-WGKMB,2024-12-13,Organic,2025-12-13,Premium,Annual,2026-07-02,Other,38.97,640.0,92,Divya Menon,India,Haryana,Female,1994-03-15,,,,,1,0,31,31-40,High
699,8507-JCZPC,2026-03-02,Organic,2026-04-01,Standard,Monthly,,,21.01,2282.0,17,Jaya Mehta,India,Chandigarh,Female,1981-05-10,205.0,2026-07-22,Y,27.0,0,1,45,41-50,Low
700,2730-YQMQB,2019-09-19,Paid,2019-11-18,Basic,Monthly,,,6.52,4579.0,12,Kajal Bose,India,Telangana,Female,1960-02-23,,,,,0,0,60,51-60,Low
701,9954-XQBEC,2026-02-11,Organic,2026-12-31,Basic,Annual,,,9.33,709.0,32,Om Mukherjee,India,Haryana,Male,1989-05-07,206.0,2026-06-14,N,32.0,0,1,37,31-40,Low
702,9403-ESMNL,2021-03-18,Paid,2021-06-16,Standard,Monthly,,,18.43,1201.0,28,Sunita Menon,India,Maharashtra,Female,1971-09-10,209.0,2022-08-24,N,67.0,0,1,50,41-50,Low
703,4678-YRGDE,2024-06-17,Partner,2024-11-14,Standard,Monthly,2025-11-02,Other,14.99,464.0,66,Rajesh Mehta,India,Odisha,Male,1962-11-16,211.0,2025-07-21,N,48.0,1,1,62,61-70,Medium
704,2852-MSHDG,2025-10-19,Referral,2026-10-19,Standard,Annual,,,19.31,3296.0,6,Karthik Yadav,India,Maharashtra,Male,1987-05-18,215.0,2026-02-03,N,19.0,0,1,38,31-40,Low
705,6523-YZRSP,2024-10-14,Trial,2025-10-14,Standard,Annual,2026-06-20,Poor customer support,24.75,499.0,84,Chitra Reddy,India,Uttar Pradesh,Female,1983-06-11,,,,,1,0,41,41-50,High
706,2114-PSBDS,2022-12-30,Referral,2023-04-29,Standard,Monthly,2023-04-24,Other,16.18,78.0,80,Sandeep Rao,India,West Bengal,Male,1983-12-12,217.0,2023-01-30,N,14.0,1,1,39,31-40,High
707,9024-JEWKV,2022-09-25,Trial,2023-03-24,Standard,Monthly,,,16.8,3148.0,37,Mohit Rao,India,Goa,Male,2007-02-03,218.0,2026-09-15,N,56.0,0,1,16,11-20,Low
708,0464-CBWUJ,2023-09-25,Paid,2023-11-24,Standard,Monthly,,,16.71,5675.0,37,Om Krishnan,India,Madhya Pradesh,Male,1957-09-19,220.0,2024-04-14,N,51.0,0,1,66,61-70,Low
709,6653-KQCYB,2025-08-27,Organic,2026-02-23,Standard,Monthly,2026-05-23,Other,18.26,393.0,90,Rajesh Sengupta,India,Assam,Male,1996-08-31,222.0,2026-02-16,Y,49.0,1,1,29,21-30,High
710,6070-STDLH,2025-04-10,Paid,2025-08-08,Standard,Monthly,,,16.93,5254.0,31,Saanvi Kapoor,India,Odisha,Female,1977-03-29,225.0,2026-05-21,Y,83.0,0,1,48,41-50,Low
711,2616-LUZLG,2021-05-02,Paid,2021-09-29,Premium,Monthly,,,29.63,4084.0,10,Gaurav Thakur,India,Odisha,Male,1999-09-30,226.0,2024-09-11,N,59.0,0,1,22,21-30,Low
712,5781-BBKRV,2021-01-02,Referral,2021-03-03,Basic,Monthly,,,11.67,5526.0,4,Shreya Rathore,India,Maharashtra,Female,1964-08-23,228.0,2024-06-02,N,42.0,0,1,56,51-60,Low
713,9343-TGMTK,2023-02-28,Partner,2023-07-28,Standard,Monthly,,,15.37,3793.0,19,Ajay Thakur,India,Odisha,Male,2004-04-30,232.0,2025-01-16,N,57.0,0,1,19,11-20,Low
714,5555-TMEGV,2020-03-12,Trial,2020-04-11,Basic,Monthly,,,11.72,4165.0,36,Sonal Gupta,India,Karnataka,Female,1958-06-29,,,,,0,0,62,61-70,Low
715,2290-LVLFN,2020-05-27,Partner,2021-05-27,Premium,Annual,,,44.36,1667.0,45,Deepika Bansal,India,Andhra Pradesh,Female,2000-09-23,234.0,2024-11-26,N,93.0,0,1,20,11-20,Low
716,1795-PUKZY,2024-06-04,Organic,2025-06-04,Standard,Annual,2026-08-21,Not using service,24.44,193.0,78,Raghav Tiwari,India,Telangana,Male,2006-11-24,238.0,2026-05-06,N,64.0,1,1,18,11-20,High
717,6229-EXHBU,2022-07-30,Paid,2023-07-30,Standard,Annual,2026-01-14,Too expensive,24.13,503.0,60,Aryan Verma,India,Odisha,Male,1983-02-22,239.0,2024-12-15,N,73.0,1,1,39,31-40,Medium
718,1020-YESGT,2019-12-06,Paid,2020-02-04,Basic,Monthly,2023-10-18,Service issue,11.99,271.0,91,Nidhi Tiwari,India,Andhra Pradesh,Female,1988-10-21,246.0,2023-06-05,N,68.0,1,1,31,31-40,High
719,4331-VRGHJ,2019-08-01,Paid,2021-08-01,Standard,Annual,,,21.6,5371.0,6,Kavita Pillai,India,Kerala,Female,1973-08-06,248.0,2024-02-12,Y,67.0,0,1,46,41-50,Low
720,8899-NNMEK,2023-10-16,Trial,2024-02-13,Standard,Monthly,,,19.21,3859.0,39,Amit Nair,India,Haryana,Male,1994-09-08,251.0,2026-02-14,Y,67.0,0,1,29,21-30,Low
721,2249-DVZUH,2022-12-04,Organic,2023-05-03,Standard,Monthly,,,17.25,3393.0,43,Vihaan Chauhan,India,Rajasthan,Male,1975-11-21,252.0,2025-09-10,Y,15.0,0,1,47,41-50,Low
722,2587-PWRRW,2024-11-16,Partner,2026-12-31,Basic,Annual,,,6.1,1622.0,9,Parth Bhat,India,Punjab,Male,1980-08-09,254.0,2024-11-20,Y,93.0,0,1,44,41-50,Low
723,2868-PFBNR,2022-02-27,Trial,2022-04-28,Premium,Monthly,,,43.09,1940.0,39,Rakesh Bhat,India,Karnataka,Male,1955-10-31,255.0,2022-05-30,Y,99.0,0,1,66,61-70,Low
724,2198-SQJGD,2021-01-16,Paid,2021-06-15,Basic,Monthly,,,7.8,474.0,29,Priya Mishra,India,Telangana,Female,1971-09-15,257.0,2025-08-26,N,20.0,0,1,49,41-50,Low
725,6643-PSLCN,2023-01-22,Organic,2023-02-21,Standard,Monthly,,,14.54,5547.0,50,Kabir Singh,India,Assam,Male,1984-01-12,258.0,2024-11-28,N,39.0,0,1,39,31-40,Medium
726,9386-AJWMY,2025-07-31,Paid,2025-08-30,Premium,Monthly,2026-03-21,Other,43.88,479.0,69,Vihaan Menon,India,Odisha,Male,1982-07-11,260.0,2026-02-05,N,47.0,1,1,43,41-50,Medium
